ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
12,Sao Paulo,Brasil Open,15-02-2015,ATP250,Indoor,Clay,The Final,3,Cuevas P.,Vanni L.,32,149,1217,357,6,4,3,6,7,6,,,,,2,1,Completed
15,Rio de Janeiro,Rio Open,22-02-2015,ATP500,Outdoor,Clay,The Final,3,Ferrer D.,Fognini F.,9,28,3865,1320,6,2,6,3,,,,,,,2,0,Completed
17,Buenos Aires,Argentina Open,01-03-2015,ATP250,Outdoor,Clay,The Final,3,Nadal R.,Monaco J.,4,60,5425,815,6,4,6,1,,,,,,,2,0,Completed
21,Casablanca,Grand Prix Hassan II,12-04-2015,ATP250,Outdoor,Clay,The Final,3,Klizan M.,Gimeno-Traver D.,41,95,1042,571,6,2,6,2,,,,,,,2,0,Completed
22,Houston,U.S. Men's Clay Court Championships,12-04-2015,ATP250,Outdoor,Clay,The Final,3,Sock J.,Querrey S.,46,42,945,1040,7,6,7,6,,,,,,,2,0,Completed
23,Monte Carlo,Monte Carlo Masters,19-04-2015,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Berdych T.,1,8,13205,4510,7,5,4,6,6,3,,,,,2,1,Completed
24,Barcelona,Open Banco Sabadell,26-04-2015,ATP500,Outdoor,Clay,The Final,3,Nishikori K.,Andujar P.,5,66,5280,745,6,4,6,4,,,,,,,2,0,Completed
25,Bucharest,BRD Nastase Tiriac Trophy,26-04-2015,ATP250,Outdoor,Clay,The Final,3,Garcia-Lopez G.,Vesely J.,45,46,985,978,7,6,7,6,,,,,,,2,0,Completed
26,Estoril,Millenium Estoril Open,03-05-2015,ATP250,Outdoor,Clay,The Final,3,Gasquet R.,Kyrgios N.,28,46,1330,980,6,3,6,2,,,,,,,2,0,Completed
27,Istanbul,Istanbul Open,03-05-2015,ATP250,Outdoor,Clay,The Final,3,Federer R.,Cuevas P.,2,23,8385,1442,6,3,7,6,,,,,,,2,0,Completed
28,Munich,BMW Open,04-05-2015,ATP250,Outdoor,Clay,The Final,3,Murray A.,Kohlschreiber P.,3,26,6060,1395,7,6,5,7,7,6,,,,,2,1,Completed
29,Madrid,Mutua Madrid Open,10-05-2015,Masters 1000,Outdoor,Clay,The Final,3,Murray A.,Nadal R.,3,4,6120,5390,6,3,6,2,,,,,,,2,0,Completed
30,Rome,Internazionali BNL d'Italia,17-05-2015,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Federer R.,1,2,13845,8645,6,4,6,3,,,,,,,2,0,Completed
31,Geneva,Geneva Open,23-05-2015,ATP250,Outdoor,Clay,The Final,3,Bellucci T.,Sousa J.,60,50,823,903,7,6,6,4,,,,,,,2,0,Completed
32,Nice,Open de Nice Côte d’Azur,23-05-2015,ATP250,Outdoor,Clay,The Final,3,Thiem D.,Mayer L.,42,24,995,1487,6,7,7,5,7,6,,,,,2,1,Completed
41,Bastad,SkiStar Swedish Open,26-07-2015,ATP250,Outdoor,Clay,The Final,3,Paire B.,Robredo T.,62,21,776,1540,7,6,6,3,,,,,,,2,0,Completed
42,Bogota,Claro Open Colombia,26-07-2015,ATP250,Outdoor,Clay,The Final,3,Tomic B.,Mannarino A.,29,33,1195,1150,6,1,3,6,6,2,,,,,2,1,Completed
43,Umag,Konzum Croatia Open,26-07-2015,ATP250,Outdoor,Clay,The Final,3,Thiem D.,Sousa J.,26,51,1235,881,6,4,6,1,,,,,,,2,0,Completed
45,Gstaad,Suisse Open Gstaad,02-08-2015,ATP250,Outdoor,Clay,The Final,3,Thiem D.,Goffin D.,24,14,1475,2145,7,5,6,2,,,,,,,2,0,Completed
46,Hamburg,bet-at-home Open,02-08-2015,ATP500,Outdoor,Clay,The Final,3,Nadal R.,Fognini F.,10,32,3000,1115,7,5,7,5,,,,,,,2,0,Completed
47,Kitzbuhel,Generali Open,08-08-2015,ATP250,Outdoor,Clay,The Final,3,Kohlschreiber P.,Mathieu P.H.,39,109,1025,492,2,6,6,2,6,2,,,,,2,1,Completed
8,Quito,Ecuador Open,07-02-2016,ATP250,Outdoor,Clay,The Final,3,Estrella Burgos V.,Bellucci T.,58,35,797,1140,4,6,7,6,6,2,,,,,2,1,Completed
10,Buenos Aires,Argentina Open,14-02-2016,ATP250,Outdoor,Clay,The Final,3,Thiem D.,Almagro N.,19,72,1725,729,7,6,3,6,7,6,,,,,2,1,Completed
15,Rio de Janeiro,Rio Open,21-02-2016,ATP500,Outdoor,Clay,The Final,3,Cuevas P.,Pella G.,45,71,895,726,6,4,6,7,6,4,,,,,2,1,Completed
18,Sao Paulo,Brasil Open,28-02-2016,ATP250,Indoor,Clay,The Final,3,Cuevas P.,Carreno-Busta P.,27,67,1305,734,7,6,6,3,,,,,,,2,0,Completed
21,Houston,U.S. Men's Clay Court Championships,10-04-2016,ATP250,Outdoor,Clay,The Final,3,Monaco J.,Sock J.,148,25,390,1525,3,6,6,3,7,5,,,,,2,1,Completed
22,Marrakech,Grand Prix Hassan II,10-04-2016,ATP250,Outdoor,Clay,The Final,3,Delbonis F.,Coric B.,47,48,920,910,6,2,6,4,,,,,,,2,0,Completed
23,Monte Carlo,Monte Carlo Masters,17-04-2016,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Monfils G.,5,16,4955,2220,7,5,5,7,6,0,,,,,2,1,Completed
24,Barcelona,Open Banco Sabadell,24-04-2016,ATP500,Outdoor,Clay,The Final,3,Nadal R.,Nishikori K.,5,6,5595,4490,6,4,7,5,,,,,,,2,0,Completed
25,Bucharest,BRD Nastase Tiriac Trophy,24-04-2016,ATP250,Outdoor,Clay,The Final,3,Verdasco F.,Pouille L.,86,72,670,1115,6,3,6,2,,,,,,,2,0,Completed
26,Estoril,Millenium Estoril Open,01-05-2016,ATP250,Outdoor,Clay,The Final,3,Almagro N.,Carreno Busta P.,71,50,739,919,6,7,7,6,6,3,,,,,2,1,Completed
27,Istanbul,Istanbul Open,01-05-2016,ATP250,Outdoor,Clay,The Final,3,Schwartzman D.,Dimitrov G.,87,29,624,1295,6,7,7,6,6,0,,,,,2,1,Completed
28,Munich,BMW Open,01-05-2016,ATP250,Outdoor,Clay,The Final,3,Kohlschreiber P.,Thiem D.,27,15,1420,2420,7,6,4,6,7,6,,,,,2,1,Completed
29,Madrid,Mutua Madrid Open,08-05-2016,Masters 1000,Outdoor,Clay,The Final,3,Djokovic N.,Murray A.,1,2,15550,7925,6,2,3,6,6,3,,,,,2,1,Completed
30,Rome,Internazionali BNL d'Italia,15-05-2016,Masters 1000,Outdoor,Clay,The Final,3,Murray A.,Djokovic N.,3,1,7525,16550,6,3,6,3,,,,,,,2,0,Completed
31,Geneva,Geneva Open,21-05-2016,ATP250,Outdoor,Clay,The Final,3,Wawrinka S.,Cilic M.,4,11,6110,2715,6,4,7,6,,,,,,,2,0,Completed
32,Nice,Open de Nice Côte d’Azur,21-05-2016,ATP250,Outdoor,Clay,The Final,3,Thiem D.,Zverev A.,15,48,2430,930,6,4,3,6,6,0,,,,,2,1,Completed
40,Bastad,SkiStar Swedish Open,17-07-2016,ATP250,Outdoor,Clay,The Final,3,Ramos-Vinolas A.,Verdasco F.,35,59,1210,820,6,3,6,4,,,,,,,2,0,Completed
41,Hamburg,German Tennis Championships,17-07-2016,ATP500,Outdoor,Clay,The Final,3,Klizan M.,Cuevas P.,47,24,943,1555,6,1,6,4,,,,,,,2,0,Completed
43,Gstaad,Suisse Open Gstaad,24-07-2016,ATP250,Outdoor,Clay,The Final,3,Lopez F.,Haase R.,21,95,1675,615,6,4,7,5,,,,,,,2,0,Completed
44,Kitzbuhel,Generali Open,23-07-2016,ATP250,Outdoor,Clay,The Final,3,Lorenzi P.,Basilashvili N.,48,123,940,481,6,3,6,4,,,,,,,2,0,Completed
45,Umag,Konzum Croatia Open,24-07-2016,ATP250,Outdoor,Clay,The Final,3,Fognini F.,Martin A.,39,124,1170,481,6,4,6,1,,,,,,,2,0,Completed
8,Quito,Ecuador Open,12-02-2017,ATP250,Outdoor,Clay,The Final,3,Estrella Burgos V.,Lorenzi P.,156,46,362,972,6,7,7,6,7,6,,,,,2,1,Completed
10,Buenos Aires,Argentina Open,19-02-2017,ATP250,Outdoor,Clay,The Final,3,Dolgopolov O.,Nishikori K.,66,5,715,4625,7,6,6,4,,,,,,,2,0,Completed
15,Rio de Janeiro,Rio Open,26-02-2017,ATP500,Outdoor,Clay,The Final,3,Thiem D.,Carreno Busta P.,8,24,3375,1495,7,5,6,4,,,,,,,2,0,Completed
18,Sao Paulo,Brasil Open,05-03-2017,ATP250,Indoor,Clay,The Final,3,Cuevas P.,Ramos-Vinolas A.,33,24,1085,1535,6,7,6,4,6,4,,,,,2,1,Completed
21,Houston,U.S. Men's Clay Court Championships,16-04-2017,ATP250,Outdoor,Clay,The Final,3,Johnson S.,Bellucci T.,29,65,1380,736,6,4,4,6,7,6,,,,,2,1,Completed
22,Marrakech,Grand Prix Hassan II,16-04-2017,ATP250,Outdoor,Clay,The Final,3,Coric B.,Kohlschreiber P.,79,32,675,1270,5,7,7,6,7,5,,,,,2,1,Completed
23,Monte Carlo,Monte Carlo Masters,23-04-2017,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Ramos-Vinolas A.,7,24,3735,1625,6,1,6,3,,,,,,,2,0,Completed
24,Barcelona,Open Banco Sabadell ,30-04-2017,ATP500,Outdoor,Clay,The Final,3,Nadal R.,Thiem D.,5,9,4235,3385,6,4,6,1,,,,,,,2,0,Completed
25,Budapest,Gazprom Hungarian Open,30-04-2017,ATP250,Outdoor,Clay,The Final,3,Pouille L.,Bedene A.,14,68,2516,718,6,3,6,1,,,,,,,2,0,Completed
26,Estoril,Millenium Estoril Open,07-05-2017,ATP250,Outdoor,Clay,The Final,3,Carreno Busta P.,Muller G.,21,28,1965,1425,6,2,7,6,,,,,,,2,0,Completed
27,Istanbul,Istanbul Open,07-05-2017,ATP250,Outdoor,Clay,The Final,3,Cilic M.,Raonic M.,8,6,3565,4165,7,6,6,3,,,,,,,2,0,Completed
28,Munich,BMW Open,07-05-2017,ATP250,Outdoor,Clay,The Final,3,Zverev A.,Pella G.,20,158,2005,359,6,4,6,3,,,,,,,2,0,Completed
29,Madrid,Mutua Madrid Open,14-05-2017,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Thiem D.,5,9,4375,3615,7,6,6,4,,,,,,,2,0,Completed
30,Rome,Internazionali BNL d'Italia,21-05-2017,Masters 1000,Outdoor,Clay,The Final,3,Zverev A.,Djokovic N.,17,2,2300,6845,6,4,6,3,,,,,,,2,0,Completed
